customer_id,customer_name,signup_date
C001,Customer_1,2023-09-10
C002,Customer_2,2023-06-09
C003,Customer_3,2023-09-01
C004,Customer_4,2023-08-29
C005,Customer_5,2023-03-02
C006,Customer_6,2023-01-13
C007,Customer_7,2023-03-02
C008,Customer_8,2023-06-13
C009,Customer_9,2023-10-25
C010,Customer_10,2023-03-29
C011,Customer_11,2023-06-21
C012,Customer_12,2023-06-29
C013,Customer_13,2023-03-09
C014,Customer_14,2023-04-21
C015,Customer_15,2023-02-01
C016,Customer_16,2023-06-02
C017,Customer_17,2023-09-16
C018,Customer_18,2023-08-27
C019,Customer_19,2023-03-31
C020,Customer_20,2023-05-20
